,property,value (log),smiles_string
146,s_sim_CO2,-0.483315814,[*]c1cc(C)c(Oc2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(c5ccc(Oc7c(C)cc(C([*])c8cccc9ccccc89)cc7C)cc5)C6=O)cc4C3=O)cc2)c(C)c1
147,p_sim_CO2,-7.102922997,[*]c1cc(C)c(Oc2ccc(N3C(=O)c4ccc(-c5ccc6c(c5)C(=O)N(c5ccc(Oc7c(C)cc(C([*])c8cccc9ccccc89)cc7C)cc5)C6=O)cc4C3=O)cc2)c(C)c1
148,d_sim_CO2,-6.162411562,[*]Oc1cc(-c2ccccc2)c2cc(-c3ccc(-c4ccc(-c5ccc6nc([*])cc(-c7ccccc7)c6c5)cc4)cc3)ccc2n1
149,s_sim_CO2,-0.511843607,[*]Oc1cc(-c2ccccc2)c2cc(-c3ccc(-c4ccc(-c5ccc6nc([*])cc(-c7ccccc7)c6c5)cc4)cc3)ccc2n1
150,p_sim_CO2,-6.673664139,[*]Oc1cc(-c2ccccc2)c2cc(-c3ccc(-c4ccc(-c5ccc6nc([*])cc(-c7ccccc7)c6c5)cc4)cc3)ccc2n1
151,d_sim_CO2,-7.152427341,[*]Nc1ccc(Cc2ccc(NC(=O)Oc3ccc4cccc(NC([*])=O)c4c3)cc2)cc1
152,s_sim_CO2,-0.539707551,[*]Nc1ccc(Cc2ccc(NC(=O)Oc3ccc4cccc(NC([*])=O)c4c3)cc2)cc1
153,p_sim_CO2,-7.692503962,[*]Nc1ccc(Cc2ccc(NC(=O)Oc3ccc4cccc(NC([*])=O)c4c3)cc2)cc1
154,d_sim_CO2,-6.360513511,[*]c1ccc(-c2ccc(-c3ccc(-c4cc(-c5ccccc5)c5cc(Oc6ccc7nc([*])cc(-c8ccccc8)c7c6)ccc5n4)cc3)cc2)cc1
155,s_sim_CO2,-0.550810434,[*]c1ccc(-c2ccc(-c3ccc(-c4cc(-c5ccccc5)c5cc(Oc6ccc7nc([*])cc(-c8ccccc8)c7c6)ccc5n4)cc3)cc2)cc1
156,p_sim_CO2,-6.910094889,[*]c1ccc(-c2ccc(-c3ccc(-c4cc(-c5ccccc5)c5cc(Oc6ccc7nc([*])cc(-c8ccccc8)c7c6)ccc5n4)cc3)cc2)cc1
157,p_exp_CO2,-9.263603498,[*]OC(=O)c1cccc(C(=O)Oc2c(C)cc(C(C)(C)c3cc(C)c([*])c(Br)c3)cc2Br)c1
158,d_sim_CO2,-6.54515514,[*]OC(=O)c1cccc(C(=O)Oc2c(C)cc(C(C)(C)c3cc(C)c([*])c(Br)c3)cc2Br)c1
159,s_sim_CO2,-0.565627624,[*]OC(=O)c1cccc(C(=O)Oc2c(C)cc(C(C)(C)c3cc(C)c([*])c(Br)c3)cc2Br)c1
160,p_sim_CO2,-7.110698297,[*]OC(=O)c1cccc(C(=O)Oc2c(C)cc(C(C)(C)c3cc(C)c([*])c(Br)c3)cc2Br)c1
161,d_sim_CO2,-6.472370099,[*]C(=O)Nc1ccc(-c2ccc(Oc3ccc(C(c4ccc(Oc5ccc(-c6ccc(NC(=O)c7cc([*])cc(C(C)(C)C)c7)cc6)cc5C(F)(F)F)cc4)(C(F)(F)F)C(F)(F)F)cc3)c(C(F)(F)F)c2)cc1
162,s_sim_CO2,-0.605052283,[*]C(=O)Nc1ccc(-c2ccc(Oc3ccc(C(c4ccc(Oc5ccc(-c6ccc(NC(=O)c7cc([*])cc(C(C)(C)C)c7)cc6)cc5C(F)(F)F)cc4)(C(F)(F)F)C(F)(F)F)cc3)c(C(F)(F)F)c2)cc1
163,p_sim_CO2,-7.077274542,[*]C(=O)Nc1ccc(-c2ccc(Oc3ccc(C(c4ccc(Oc5ccc(-c6ccc(NC(=O)c7cc([*])cc(C(C)(C)C)c7)cc6)cc5C(F)(F)F)cc4)(C(F)(F)F)C(F)(F)F)cc3)c(C(F)(F)F)c2)cc1
164,d_sim_CO2,-6.552841969,[*]Oc1ccc2cc(-c3nc4ccccc4nc3-c3ccc4cc(OC(=O)c5cccc(C([*])=O)c5)ccc4c3)ccc2c1
165,s_sim_CO2,-0.663362968,[*]Oc1ccc2cc(-c3nc4ccccc4nc3-c3ccc4cc(OC(=O)c5cccc(C([*])=O)c5)ccc4c3)ccc2c1
166,p_sim_CO2,-7.216096421,[*]Oc1ccc2cc(-c3nc4ccccc4nc3-c3ccc4cc(OC(=O)c5cccc(C([*])=O)c5)ccc4c3)ccc2c1
167,d_sim_CH4,-6.3400838,[*]c1ccc(-c2nc3cc4nc([*])[nH]c4cc3[nH]2)c(S(=O)(=O)O)c1
168,s_sim_CH4,-0.714476594,[*]c1ccc(-c2nc3cc4nc([*])[nH]c4cc3[nH]2)c(S(=O)(=O)O)c1
169,p_sim_CH4,-7.054531415,[*]c1ccc(-c2nc3cc4nc([*])[nH]c4cc3[nH]2)c(S(=O)(=O)O)c1
170,d_sim_CO2,-6.847711656,[*]C(=O)c1cccc(-c2cccc(C(=O)c3ccc(Oc4ccc([*])cc4)cc3)c2)c1
171,s_sim_CO2,-0.737770269,[*]C(=O)c1cccc(-c2cccc(C(=O)c3ccc(Oc4ccc([*])cc4)cc3)c2)c1
172,p_sim_CO2,-7.585026652,[*]C(=O)c1cccc(-c2cccc(C(=O)c3ccc(Oc4ccc([*])cc4)cc3)c2)c1
173,d_sim_CO2,-6.735182177,[*]c1ccc(OC(=O)c2ccc(C(=O)c3ccc(C(=O)Oc4ccc(C([*])(C)C)cc4)cc3)cc2)cc1
174,s_sim_CO2,-0.758344969,[*]c1ccc(OC(=O)c2ccc(C(=O)c3ccc(C(=O)Oc4ccc(C([*])(C)C)cc4)cc3)cc2)cc1
175,p_sim_CO2,-7.493494968,[*]c1ccc(OC(=O)c2ccc(C(=O)c3ccc(C(=O)Oc4ccc(C([*])(C)C)cc4)cc3)cc2)cc1
176,d_sim_CO2,-6.585026652,[*]Oc1cccc(C(F)(F)C(F)(F)C(F)(F)c2cccc(OC([*])=O)c2)c1
177,s_sim_CO2,-0.836246375,[*]Oc1cccc(C(F)(F)C(F)(F)C(F)(F)c2cccc(OC([*])=O)c2)c1
178,p_sim_CO2,-7.42136079,[*]Oc1cccc(C(F)(F)C(F)(F)C(F)(F)c2cccc(OC([*])=O)c2)c1
179,d_sim_CO2,-6.469800302,[*]CC([*])(CC(=O)OCC)C(=O)O
180,s_sim_CO2,-0.84953723,[*]CC([*])(CC(=O)OCC)C(=O)O
181,p_sim_CO2,-7.319664487,[*]CC([*])(CC(=O)OCC)C(=O)O
182,d_sim_CO2,-6.258848401,[*]c1ccc(C(=O)OCC)c(C(=O)Nc2ccc(Oc3ccc(NC(=O)c4ccc([*])cc4C(=O)OCC)cc3)cc2)c1
183,s_sim_CO2,-0.90405771,[*]c1ccc(C(=O)OCC)c(C(=O)Nc2ccc(Oc3ccc(NC(=O)c4ccc([*])cc4C(=O)OCC)cc3)cc2)c1
184,p_sim_CO2,-7.163043263,[*]c1ccc(C(=O)OCC)c(C(=O)Nc2ccc(Oc3ccc(NC(=O)c4ccc([*])cc4C(=O)OCC)cc3)cc2)c1
185,d_sim_CO2,-6.707743929,[*]COCC([*])(CS(=O)(=O)CCC)CS(=O)(=O)CCC
186,s_sim_CO2,-0.952599505,[*]COCC([*])(CS(=O)(=O)CCC)CS(=O)(=O)CCC
187,p_sim_CO2,-7.659555885,[*]COCC([*])(CS(=O)(=O)CCC)CS(=O)(=O)CCC
