,zinc_ids,polymer,reactants,n_polymer_atoms
12134,ZINC000409408536,*=CC1CC(C=*)C2C(=O)N(N=Cc3cc(Cl)c(OCC)c(Cl)c3)C(=O)C12,CCOc1c(Cl)cc(C=NN2C(=O)C3C4C=CC(C4)C3C2=O)cc1Cl,25
12135,ZINC000409407565,*=CC1CC(C=*)C2C(=O)N(N=Cc3cc(Cl)c(OC(C)C)c(Cl)c3)C(=O)C12,CC(C)Oc1c(Cl)cc(C=NN2C(=O)C3C4C=CC(C4)C3C2=O)cc1Cl,26
12136,ZINC000409407620,*=CC1CC(C=*)C2C(=O)N(N=Cc3cccc(OCc4cccc(F)c4)c3)C(=O)C12,O=C1C2C3C=CC(C3)C2C(=O)N1N=Cc1cccc(OCc2cccc(F)c2)c1,29
12137,ZINC000409407644,*=CC1CC(C=*)C2C(=O)N(N=Cc3cccc(OCc4ccc(F)cc4)c3)C(=O)C12,O=C1C2C3C=CC(C3)C2C(=O)N1N=Cc1cccc(OCc2ccc(F)cc2)c1,29
12138,ZINC000409407495,*=CC1CC(C=*)C2C(=O)N(N=Cc3ccccc3OCc3cccc(C)c3)C(=O)C12,Cc1cccc(COc2ccccc2C=NN2C(=O)C3C4C=CC(C4)C3C2=O)c1,29
12139,ZINC000257173482,*=CC1CC(C=*)C(C#N)(C(=O)OCC)C1c1ccc(N(C)C)c(Br)c1,CCOC(=O)C1(C#N)C2C=CC(C2)C1c1ccc(N(C)C)c(Br)c1,24
12140,ZINC000254447451,*=CC1CC(C=*)C(C(=O)OC(CCl)CCl)C1C(=O)Nc1ccc(C)cc1,Cc1ccc(NC(=O)C2C3C=CC(C3)C2C(=O)OC(CCl)CCl)cc1,25
12141,ZINC000004172128,*=CCC1C(C=*)c2cccc(C(=O)OCC)c2NC1c1ccc(C(=O)OC)cc1,CCOC(=O)c1cccc2c1NC(c1ccc(C(=O)OC)cc1)C1CC=CC21,28
12142,ZINC000408868795,*=CCC1C(C=*)c2ccc(C(=O)O)c(C)c2NC1c1ccc(OCC(=O)OC)cc1,COC(=O)COc1ccc(C2Nc3c(ccc(C(=O)O)c3C)C3C=CCC32)cc1,29
12143,ZINC000408869492,*=CCC1C(C=*)c2ccc(C(=O)O)c(C)c2NC1c1cccc(OCC(=O)OC)c1,COC(=O)COc1cccc(C2Nc3c(ccc(C(=O)O)c3C)C3C=CCC32)c1,29
12144,ZINC000409164757,*=CCC1C(C=*)c2ccc(C(=O)OC)c(C)c2NC1c1ccc(C(=O)OC)cc1,COC(=O)c1ccc(C2Nc3c(ccc(C(=O)OC)c3C)C3C=CCC32)cc1,28
12145,ZINC000409167255,*=CCC1C(C=*)c2c(C(=O)OC)ccc(C)c2NC1c1ccc(C(=O)OC)cc1,COC(=O)c1ccc(C2Nc3c(C)ccc(C(=O)OC)c3C3C=CCC32)cc1,28
