polymer_smiles,ROP of,monomer_smiles,Enthalpy of Polymerization (kJ/mol),Glass Transition Temperature (K),Specific Heat Capacity (J {gK}^{-1}),Tensile Strength at break (MPa),Thermal Decomposition Temperature (K),Youngs Modulus (GPa),fitness
[*]SC(CO)CN(Cc1nnc(C(C)C)o1)CC([*])C,Thioether,CC1CN(Cc2nnc(C(C)C)o2)CC(CO)S1,7.802701253167466,338.691259264946,1.4983888566493986,14.865352147072556,531.0552841186524,0.2783515015880018,0.0064735795546039
[*]CC[C@@H](NC(=O)N1CCC(C)(OCC)CC1)[C@H](C=C)O[*],Ether,CCOC1(C)CCN(CC1)C(=O)N[C@@H]1CCO[C@H]1C=C,4.469535823801551,351.7764888703823,1.3235465663671493,15.132254888117314,572.6870541572571,0.2663006698522716,0.0064735665557381
[*]CCC(CCO[*])CCN(C)C(=O)C1CCCCC1,Ether,CN(CCC1CCOCC1)C(=O)C1CCCCC1,14.943019413787503,293.91952458024025,1.74139171898365,15.643344482779504,571.5084944263101,0.2984911444933712,0.0064735351241296
[*]CC(CC)N(CCS[*])C1=CC(=O)CC1,Thioether,CCC1CSCCN1C1=CC(=O)CC1,9.764308942555544,273.59403869509697,1.458469393253326,15.751192820072175,539.6821499571204,0.3092204782111943,0.0064734679116344
[*]OCCN(Cc1noc(C2CCCC2)n1)CC([*])c1nnnn1CCOC,Ether,COCCn1nnnc1C1CN(Cc2noc(C3CCCC3)n2)CCO1,17.945789831162408,325.16690039634705,1.5004728162288663,14.896911919862031,573.9996409133076,0.2938496598552912,0.0064734062182924
[*]OCCCCC([*])CCC(=O)N1CCN(Cc2noc(C)n2)CC1,Ether,Cc1nc(CN2CCN(CC2)C(=O)CCC2CCCCO2)no1,22.07071635074592,310.5653383731842,1.5964617162942885,15.571215731650591,587.9636900380254,0.2948623593331129,0.0064733949615889
[*]OCCCCC([*])CCC(=O)N1CCN(Cc2nc(C)no2)CC1,Ether,Cc1noc(CN2CCN(CC2)C(=O)CCC2CCCCO2)n1,22.070716350747738,310.5653383731842,1.5964617162942885,15.571215731650591,587.9636900380254,0.2948623593331129,0.0064733949615888
[*]C(C)CN(CC(=O)NC(C)C(=O)N1CCCCC1)CC(C)S([*])=O,Thioether,CC(NC(=O)CN1CC(C)S(=O)C(C)C1)C(=O)N1CCCCC1,20.531419340193928,355.124302983284,1.21008944272995,14.356104904413224,551.9296646520496,0.2990128715770692,0.006473334772972
[*]CCN(CC(C)CS([*])(=O)=O)C(=O)NCc1cnc(N(C)C)n1C,Thioether,CC1CN(CCS(=O)(=O)C1)C(=O)NCc1cnc(N(C)C)n1C,-7.935925582295336,395.959708571434,1.1709867808222771,14.426833646744493,593.3557670921087,0.2767009999141842,0.0064733266356736
[*]=C(O)C(=O)N(CCCOC)C(C(=[*])C(=O)c1ccc(OCC)cc1OCC)c1ccc(OC(C)=O)cc1,Cycloalkene,CCOc1ccc(C(=O)C2=C(O)C(=O)N(CCCOC)C2c2ccc(OC(C)=O)cc2)c(OCC)c1,0.8132828360547614,362.6842933893204,1.1359733584523202,15.257079076766969,607.8163313984871,0.2832362224434316,0.0064732998831618
