smiles_string,d_exp_CH4,d_exp_CO2,d_exp_H2,d_exp_He,d_exp_N2,d_exp_O2,d_sim_CH4,d_sim_CO2,d_sim_N2,d_sim_O2,p_exp_CH4,p_exp_CO2,p_exp_H2,p_exp_He,p_exp_N2,p_exp_O2,p_sim_CH4,p_sim_CO2,p_sim_N2,p_sim_O2,s_exp_CH4,s_exp_CO2,s_exp_H2,s_exp_He,s_exp_N2,s_exp_O2,s_sim_CH4,s_sim_CO2,s_sim_N2,s_sim_O2
[*]/C(=C(/[*])c1ccc([Si](C)(C)C)cc1)c1ccc(-c2ccc(C(C)(C)C)cc2)cc1,,,,,,,,,,,-7.13667714,-6.48148606,-6.920818754,-7.251811973,-7.602059991,-7.207608311,,,,,,,,,,,,,,
[*]/C(=C(/[*])c1ccc([Si](C)(C)C)cc1)c1ccccc1,,,,,,,,,,,-6.823908741,-6.332547047,-6.677780705,-7.0,-7.271646218,-6.93930216,,,,,,,,,,,,,,
[*]/C(=C(/[*])c1ccc([Si](c2ccccc2)(c2ccccc2)c2ccccc2)cc1)c1ccccc1,,,,,,,,,,,-9.253365801,-8.103473783,-8.286509457,-8.48148606,-9.555955204,-8.91721463,,,,,,,,,,,,,,
[*]/C(=C(/[*])c1ccc2c(c1)-c1cc([Si](C)(C)C)ccc1C2(C)C)c1ccccc1,,,,,,,,,,,-5.721246399,-5.619788758,-5.721246399,-6.055517328,-6.091514981,-6.008773924,,,,,,,,,,,,,,
[*]/C(=C(/[*])c1ccc2c(c1)-c1ccccc1C2(C)C)c1ccccc1,,,,,,,,,,,-7.026872146,-6.468521083,-6.698970004,-7.050609993,-7.37675071,-7.080921908,,,,,,,,,,,,,,
[*]/C(=C(/[*])c1ccc2c(c1)-c1ccccc1C21CC1)c1ccc([Si](C)(C)C)cc1,,,,,,,,,,,-7.301029996,-6.721246399,-7.008773924,-7.318758763,-7.721246399,-7.356547324,,,,,,,,,,,,,,
[*]/C(=C(/[*])c1ccc2c(c1)-c1ccccc1C21CC1)c1ccccc1,,,,,,,,,,,-6.806875402,-6.392544977,-6.709965389,-7.070581074,-7.232844134,-7.008773924,,,,,,,,,,,,,,
[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)C(C)(C)C2(C)C)c1ccccc1,,,,,,,,,,,-5.616184634,-5.454692884,-5.634512015,-5.995678626,-6.0,-5.903089987,,,,,,,,,,,,,,
[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1cc(F)cc(F)c1,,,,,,,,,,,-5.536107011,-5.442492798,-5.54515514,-5.863279433,-5.882728704,-5.818156412,,,,,,,,,,,,,,
[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Br)cc1,,,,,,,,,,,-5.649751982,-5.484126156,-5.684029655,-6.036212173,-6.036212173,-5.943095149,,,,,,,,,,,,,,
[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(C)cc1,,,,,,,,,,,-5.995678626,-5.772113295,-5.966576245,-6.301029996,-6.387216143,-6.244125144,,,,,,,,,,,,,,
[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(Cl)cc1,,,,,,,,,,,-5.643974143,-5.453457337,-5.68613278,-6.031517051,-6.036212173,-5.931814138,,,,,,,,,,,,,,
[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)c(F)c1,,,,,,,,,,,-5.455931956,-5.354577731,-5.434152181,-5.749579998,-5.779891912,-5.728158393,,,,,,,,,,,,,,
[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc(F)cc1,,,,,,,,,,,-5.46470588,-5.327902142,-5.477555766,-5.801342913,-5.806875402,-5.747146969,,,,,,,,,,,,,,
[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccc([Si](C)(C)C)cc1,,,,,,,,,,,-7.327902142,-6.698970004,-6.958607315,-7.27572413,-7.769551079,-7.346787486,,,,,,,,,,,,,,
[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CC2(C)C)c1ccccc1,,,,,,,,,,,-5.565431096,-5.424812155,-5.610833916,-5.962573502,-5.958607315,-5.863279433,,,,,,,,,,,,,,
[*]/C(=C(/[*])c1ccc2c(c1)C(C)(C)CCC2(C)C)c1ccccc1,,,,,,,,,,,-6.180456064,-5.943095149,-6.113509275,-6.455931956,-6.568636236,-6.408935393,,,,,,,,,,,,,,
[*]/C(=C(/[*])c1ccc2c(c1)CCC2)c1ccc([Si](C)(C)C)cc1,,,,,,,,,,,-8.22184875,-7.408935393,-7.443697499,-7.698970004,-8.522878745,-8.065501549,,,,,,,,,,,,,,
[*]/C(=C(/[*])c1ccc2c(c1)Cc1ccccc1-2)c1ccc([Si](C)(C)C)cc1,,,,,,,,,,,-6.698970004,-6.190440285,-6.508638306,-6.886056648,-7.022276395,-6.782516056,,,,,,,,,,,,,,
[*]/C(=C(/[*])c1ccc2c(c1)Cc1ccccc1-2)c1ccccc1,,,,,,,,,,,-6.619788758,-6.070581074,-6.437707136,-6.795880017,-6.886056648,-6.66756154,,,,,,,,,,,,,,
[*]/C(=C(/[*])c1ccc2c(ccc3ccccc32)c1)c1ccc([Si](C)(C)C)cc1,,,,,,,,,,,-7.301029996,-6.677780705,-7.045757491,-7.346787486,-7.721246399,-7.337242168,,,,,,,,,,,,,,
