SN,smiles,eib
166,OC(C=C1)=CC=C1C(=O)C(S2)=CC=C2C(=O)NOC(=O),1.0274733304139545
167,[*]C(S1)=CC=C1C(=S)C(S2)=CC=C2O[*],1.0278357429877527
168,[*]C=C([*])c1ccc(C#C)cc1,1.0316618826264126
169,[*]C(C=C1)=CC=C1C(=S)C(C=C2)=CC=C2O[*],1.038219644793312
170,[*]NC(=O)C(S1)=CC=C1C(=O)[*],1.0432813507349334
171,[*]C(=O)C(C=C1)=CC=C1C(=O)C(S2)=CC=C2[*],1.0487150595449504
172,[*]c1ccc(S([*])(=O)=O)cc1,1.0525770886794756
173,[*]c1ccc(Oc2ccc(-c3cnc4cc5ncc([*])nc5cc4n3)cc2)cc1,1.0537076653415522
174,[*]C(=O)C(=O)c1ccc(C=C2CCC(=Cc3ccc([*])cc3)C2=O)cc1,1.0607724196842527
175,[*]C(=O)NNC(=O)c1ccc([*])nc1,1.0638694213101063
176,[*]C=Cc1ccc(C=Cc2nc3cc4sc([*])nc4cc3s2)cc1,1.0705827015866567
177,[*]C(=O)C(C=C1)=CC=C1C(S2)=CC=C2C(=S)[*],1.0707965216845898
178,[*]C#CC#Cc1ccc([*])cc1,1.0851365508355482
179,[*]c1cc(N=Nc2ccc(C(=O)O)cc2)cc([*])c1O,1.0875006944971743
180,[*]C=c1ccc(=c2ccc(=Cc3ccc(-c4ccc([*])s4)s3)s2)s1,1.092774693402025
181,[*]C(=O)c1ccc2nc(-c3ccc(-c4cnc5cc([*])ccc5n4)cc3)cnc2c1,1.106316924497702
182,[*]C#CC(=C([*])c1ccccc1)c1ccccc1,1.1084608321821383
183,[*]CC(S1)=CC=C1C(S2)=CC=C2C(=S)[*],1.110058755933184
184,[*]c1ccc(-c2nc3cc4nc(-c5ccccc5)c([*])nc4cc3nc2-c2ccccc2)cc1,1.110427552985485
185,[*]c1ccc(-n2cc3c(n2)C(=O)c2cn([*])nc2C3=O)cc1,1.1140125108487489
