,composition,load,hardness,category,type
393,Sc0.5Zr0.5B12,4.9,32.04972129,exp,only_exp
394,Sc0.8Y0.2B12,0.49,44.36941513,exp,only_exp
395,Sc0.8Y0.2B12,0.98,36.06700163,exp,only_exp
396,Sc0.8Y0.2B12,1.96,35.03692551,exp,only_exp
397,Sc0.8Y0.2B12,2.94,32.00851927,exp,only_exp
398,Sc0.8Y0.2B12,4.9,30.54579364,exp,only_exp
399,Sc0.8Zr0.2B12,0.49,45.95154316,exp,only_exp
400,Sc0.8Zr0.2B12,0.98,38.43785832,exp,only_exp
401,Sc0.8Zr0.2B12,1.96,36.32037198,exp,only_exp
402,Sc0.8Zr0.2B12,2.94,33.47428819,exp,only_exp
403,Sc2C3,1.72,5.83,exp,only_exp
404,Sc2ReB6,0.49,34.7401001,exp,only_exp
405,Sc2ReB6,0.98,31.83707398,exp,only_exp
406,Sc2ReB6,1.96,24.10401302,exp,only_exp
407,Sc2ReB6,2.94,22.70255213,exp,only_exp
408,Sc2ReB6,4.9,20.92569993,exp,only_exp
409,Sc3Al3C2O5 ,2,9,exp,only_exp
410,Sc5Si3 ,1.96,7.6,exp,only_exp
411,ScB12,0.49,41.67556428,exp,only_exp
412,ScB12,0.98,35.18608474,exp,only_exp
413,ScB12,1.96,33.94997585,exp,only_exp
414,ScB12,2.94,30.32412547,exp,only_exp
415,ScB12,4.9,28.44938694,exp,only_exp
416,ScB2,1.96,17.46,exp,only_exp
417,ScNi3B,2.942,4.6,exp,only_exp
418,ScRh3B,2.942,9.75,exp,only_exp
419,ScRh3B0.5C0.5 ,2.942,7.4,exp,only_exp
420,ScRh3C,2.94,9.9,exp,only_exp
421,ScRu2,0.98,5.88,exp,only_exp
422,ScSi,1.96,4.2,exp,only_exp
423,ScSi1.67 ,0.98,8.2,exp,only_exp
424,Si,0.49,11.27,exp,only_exp
425,Si2N2O,0.98,19,exp,only_exp
426,Si3N4 ,0.98,20,exp,only_exp
427,SiC,2,22.9,exp,only_exp
428,SiO2,0.98,11,exp,only_exp
429,Sm2O3,0.98,4.71,exp,only_exp
430,SmB6,0.98,24.52,exp,only_exp
431,SmC2,1.72,6.37,exp,only_exp
432,SmMn2Si2 ,0.49,6.5,exp,only_exp
433,SmPd2Ge,0.98,5.51,exp,only_exp
434,Sr2Cu2GdRuO8 ,20,2.8,exp,only_exp
435,SrB6,0.29,28.54,exp,only_exp
436,SrVO3 ,9.8,3.85,exp,only_exp
437,Ta0.01W0.99B,0.49,35,exp,only_exp
438,Ta0.01W0.99B,0.98,29,exp,only_exp
439,Ta0.01W0.99B,4.9,18.5,exp,only_exp
440,Ta0.03W0.97B4,0.49,52.02308473,exp,only_exp
441,Ta0.03W0.97B4,0.98,44.69812278,exp,only_exp
442,Ta0.03W0.97B4,1.96,37.94393709,exp,only_exp
443,Ta0.03W0.97B4,2.94,34.26560122,exp,only_exp
444,Ta0.03W0.97B4,4.9,31.82394723,exp,only_exp
445,Ta0.04W0.96B4,0.49,48.28132927,exp,only_exp
446,Ta0.04W0.96B4,0.98,41.24175545,exp,only_exp
447,Ta0.04W0.96B4,1.96,36.39015728,exp,only_exp
448,Ta0.04W0.96B4,2.94,33.50456621,exp,only_exp
449,Ta0.04W0.96B4,4.9,31.22146119,exp,only_exp
450,Ta0.09Pt0.91 ,9.8,1.02,exp,only_exp
451,Ta0.1W0.9B,0.49,36.5,exp,only_exp
452,Ta0.1W0.9B,0.98,30.5,exp,only_exp
453,Ta0.1W0.9B,4.9,20,exp,only_exp
454,Ta0.1W0.9B4,0.49,44.12734652,exp,only_exp
455,Ta0.1W0.9B4,0.98,39.90994419,exp,only_exp
456,Ta0.1W0.9B4,1.96,35.40715373,exp,only_exp
457,Ta0.1W0.9B4,2.94,33.02891933,exp,only_exp
